xCa= 1 xC=0 xO=8 xMg=5 xCl=2
 xCalcite=4 xDolomite=5 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
51	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
52	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
53	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
54	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
55	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
56	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
57	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
58	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
59	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
60	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
61	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
62	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
63	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
64	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
65	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
66	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
67	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
68	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
69	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
70	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
71	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
72	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
73	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
74	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
75	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
76	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
77	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
78	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
79	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
80	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
81	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
82	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
83	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
84	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
85	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
86	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
87	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
88	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
89	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
90	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
91	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
92	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
93	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
94	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
95	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
96	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
97	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
98	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
99	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
100	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
Time step: 20  Time, s: 200000	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
0	7.63901	0.0100387	0.0529763	0.545193	0	1e-07	1000	7.70359
1	7.62968	0.0102901	0.052723	0.545193	38.9452	0.390463	1000	7.51091
2	7.58007	0.0116098	0.0513931	0.545192	38.9452	0.390463	1000	6.48902
3	7.478	0.0149138	0.0480684	0.545192	38.9452	0.390463	1000	4.72439
4	7.35718	0.0201528	0.0428043	0.545191	38.9452	0.390463	1000	3.11313
5	7.25606	0.0260524	0.0368822	0.545189	38.9452	0.390463	1000	2.07486
6	7.18789	0.0310698	0.0318484	0.545188	38.9452	0.390463	1000	1.50227
7	7.14879	0.0344157	0.0284925	0.545188	38.9452	0.390463	1000	1.21328
8	7.12951	0.0362085	0.0266948	0.545187	38.9452	0.390463	1000	1.08043
9	7.1214	0.0369929	0.0259082	0.545187	38.9452	0.390463	1000	1.02636
10	7.11852	0.0372761	0.0256242	0.545187	38.9452	0.390463	1000	1.00739
11	7.11767	0.0373611	0.025539	0.545187	38.9452	0.390463	1000	1.00176
12	7.11745	0.0373823	0.0255177	0.545187	38.9452	0.390463	1000	1.00035
13	7.11741	0.0373867	0.0255133	0.545187	38.9452	0.390463	1000	1.00006
14	7.1174	0.0373875	0.0255125	0.545187	38.9452	0.390463	1000	1.00001
15	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
16	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
17	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
18	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
19	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
20	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
21	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
22	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
23	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
24	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
25	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
26	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
27	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
28	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
29	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
30	7.1174	0.0373876	0.0255124	0.545187	38.9452	0.390463	1000	1
